,plus_signs,minus_signs,orthants
907,60,89,102
908,91,101,180
909,64,52,82
910,94,79,168
911,105,78,136
912,91,94,182
913,104,81,154
914,96,94,178
915,104,91,182
916,97,79,138
917,102,96,190
918,85,87,178
919,94,92,172
920,94,80,172
921,101,88,170
922,81,91,166
923,66,87,90
924,84,89,156
925,83,95,144
926,87,90,166
927,74,52,66
928,76,53,86
929,92,93,182
930,88,69,106
931,86,89,170
932,75,75,130
933,88,100,166
934,96,87,150
935,86,93,148
936,90,77,110
937,90,84,120
938,67,85,120
939,101,87,160
940,80,89,136
941,95,93,164
942,85,89,146
943,81,89,146
944,86,87,144
945,95,90,184
946,74,65,98
947,83,77,136
948,96,85,152
949,63,66,86
950,92,105,180
951,93,96,156
952,88,77,148
953,99,87,168
954,76,97,124
955,94,98,176
956,96,96,208
957,70,73,128
958,87,72,128
959,89,83,140
960,92,100,174
961,87,84,158
962,80,102,152
963,89,97,184
964,85,79,138
965,82,77,104
966,88,102,168
967,91,89,144
968,80,83,124
969,89,100,158
970,94,98,168
971,90,82,150
972,84,85,144
973,108,80,156
974,85,85,138
975,81,92,166
976,81,102,154
977,80,75,168
978,103,94,184
979,67,55,118
980,80,60,92
981,82,80,134
982,95,92,152
983,88,81,122
984,105,89,158
985,89,97,174
986,98,98,164
987,96,97,186
988,89,90,170
989,90,93,194
990,88,88,172
991,109,86,168
992,88,94,178
993,92,96,166
994,105,82,134
995,98,87,166
996,73,77,174
997,101,104,192
998,53,52,60
999,91,92,198
1000,84,103,144
1001,78,84,136
1002,103,91,158
1003,79,84,134
1004,101,91,184
1005,90,104,202
1006,58,55,62
1007,101,91,196
1008,69,71,120
1009,91,92,138
1010,77,85,116
1011,100,104,208
1012,71,80,132
1013,92,80,150
1014,73,76,82
1015,103,91,160
1016,87,100,150
1017,91,100,178
1018,80,64,146
1019,89,93,170
1020,67,75,112
1021,105,91,182
1022,86,83,164
1023,98,100,198
1024,98,84,176
1025,94,96,176
1026,103,91,182
1027,93,105,164
1028,81,86,152
1029,61,104,82
1030,85,85,156
1031,71,83,98
1032,102,81,166
1033,71,85,126
1034,72,83,110
1035,99,98,172
1036,99,94,220
1037,98,95,190
1038,87,85,152
1039,101,90,192
1040,99,80,132
1041,78,92,154
1042,94,108,170
1043,97,80,134
1044,78,86,106
1045,104,99,228
1046,103,92,182
1047,79,94,168
1048,97,101,208
1049,84,102,166
1050,77,65,124
1051,83,88,156
1052,67,60,68
1053,83,96,142
1054,88,88,166
1055,92,96,168
1056,102,91,176
1057,90,101,162
1058,70,54,108
1059,85,99,172
1060,73,67,110
1061,99,92,204
1062,93,99,186
1063,95,98,184
1064,97,77,156
1065,84,87,158
1066,92,89,184
1067,82,81,148
1068,85,76,120
1069,86,78,122
1070,97,94,192
1071,96,104,224
1072,97,87,126
1073,97,98,202
1074,96,71,134
1075,91,99,188
1076,100,88,196
1077,95,91,194
1078,84,89,164
1079,84,79,150
1080,95,93,182
1081,94,104,198
1082,93,92,172
1083,80,82,130
1084,99,94,148
1085,94,96,212
1086,101,97,156
1087,87,73,124
1088,85,102,162
1089,101,99,198
1090,87,96,146
1091,101,93,170
1092,59,64,84
1093,71,81,152
1094,25,46,2
1095,35,28,54
1096,60,50,64
1097,82,82,148
1098,87,95,146
1099,82,85,116
1100,81,80,118
1101,80,110,170
1102,96,86,168
1103,86,88,142
1104,32,26,8
1105,95,88,164
1106,91,85,186
1107,75,77,186
1108,64,76,124
1109,79,96,134
1110,86,91,170
1111,85,76,132
1112,101,95,170
1113,117,63,104
1114,66,96,114
1115,97,94,190
1116,97,79,150
1117,95,99,176
1118,70,83,130
1119,68,67,122
1120,75,80,114
1121,74,70,138
1122,54,51,72
1123,92,99,168
1124,60,69,82
1125,91,91,166
1126,84,91,150
1127,94,92,186
1128,100,102,200
1129,82,77,134
1130,93,97,196
1131,70,76,136
1132,80,92,140
1133,92,102,142
1134,85,87,136
1135,86,107,164
1136,106,89,154
1137,77,74,132
1138,85,83,100
1139,111,83,158
1140,59,58,130
1141,98,85,164
1142,76,70,130
1143,96,99,184
1144,71,55,54
1145,99,92,156
1146,88,96,156
1147,101,99,192
1148,86,86,136
1149,109,89,154
1150,108,78,162
1151,68,67,128
1152,99,94,146
1153,98,95,202
1154,85,103,186
1155,79,82,158
1156,90,111,206
1157,66,58,148
1158,75,86,106
1159,85,96,164
1160,57,48,80
1161,99,96,182
1162,87,103,146
1163,103,93,186
1164,85,112,168
1165,86,70,116
1166,83,89,122
1167,77,79,144
1168,79,86,166
1169,67,71,96
1170,87,90,146
1171,58,92,80
1172,79,100,140
1173,78,85,116
1174,86,80,158
1175,84,116,162
1176,77,87,126
1177,86,93,154
1178,86,78,118
1179,92,73,130
1180,83,100,158
1181,93,76,122
1182,69,61,142
